id_issue,nb_issue,title,id_user,name_labels,nb_comments,creation_time,updated_time,closed_time
1160614719,44624,"System tests screenshots - include path in test result message, backtrace or separate metadata",6763624,[],0,2022-03-06T13:44:40Z,2022-03-06T13:44:52Z,
1160222691,44619,Upgrading Rails from 6.0 --> 6.1 breaks this query,46462767,[],0,2022-03-05T04:09:01Z,2022-03-05T04:11:16Z,
1160014635,44617,Add `active_record.destroy_association_async_batch_size` configuration,7942714,"['activerecord', 'railties', 'docs']",0,2022-03-04T20:13:41Z,2022-03-04T22:08:27Z,
1159903813,44616,Always preload if using proc with multifetch cache,509837,['actionview'],0,2022-03-04T17:55:29Z,2022-03-04T17:56:38Z,
1159838401,44614,Add :renderable to the list of rendering keys supported by ActionView::Renderer#render,922012,['actionview'],0,2022-03-04T16:42:49Z,2022-03-04T16:42:52Z,
1159832478,44613,Fix eager loading of ActionDispatch::Routing,19192189,['actionpack'],0,2022-03-04T16:35:59Z,2022-03-04T16:41:46Z,
1158702669,44608,"Mime Support for ""problem detail""",17572847,['actionpack'],1,2022-03-03T17:34:57Z,2022-03-03T18:26:10Z,
1158163113,44605,Add Module#eager_load! to trigger the loading of autoloaded constants,19192189,['activesupport'],0,2022-03-03T09:20:49Z,2022-03-03T09:20:53Z,
1157789234,44603,Allow configuring if Postgres structure dumps include comments,509837,"['activerecord', 'docs']",0,2022-03-02T23:16:16Z,2022-03-04T17:59:45Z,
1157622253,44601,Make `timestamptz` a time zone aware type for Postgres,509837,['activerecord'],1,2022-03-02T19:53:12Z,2022-03-04T17:58:43Z,
1157444988,44599,Document behaviour when `:touch` is used with `:counter_cache`,47113995,['activerecord'],0,2022-03-02T16:50:09Z,2022-03-02T16:50:12Z,
1157413265,44598,Improve autoloading_and_reloading_constants.md,3326342,['docs'],1,2022-03-02T16:22:08Z,2022-03-04T21:06:14Z,
1157283261,44597,Rails new with both bootstrap and propshaft does not work,5107,"['railties', 'attached PR']",4,2022-03-02T14:38:34Z,2022-03-04T17:32:37Z,
1157193266,44596,Use #attribute_names in ActiveRecord::Core#inspect,5077225,['activerecord'],1,2022-03-02T13:24:46Z,2022-03-02T19:16:28Z,
1157057672,44595,fix hash from_xml missing tag error,4384971,['activesupport'],0,2022-03-02T11:23:02Z,2022-03-02T11:23:06Z,
1156841158,44594,STI foreign key auto detection regression,5965113,[],1,2022-03-02T09:03:58Z,2022-03-02T11:29:26Z,
1156067302,44592,[docs] RemoteIp improvements,509837,"['actionpack', 'docs']",0,2022-03-02T00:46:59Z,2022-03-04T17:59:24Z,
1155775285,44591,Simplify adapter construction; defer connect until first use,1034,['activerecord'],0,2022-03-01T20:18:32Z,2022-03-02T15:10:09Z,
1155720378,44590,Configure ActiveStorage with AzureStorage given SAS token,15928313,[],0,2022-03-01T19:22:50Z,2022-03-01T19:22:50Z,
1155582747,44589,Unable to load assets when reloading the page,14005731,[],0,2022-03-01T17:01:40Z,2022-03-01T17:03:06Z,
1155473235,44588,Allow the Flash Middleware to be deleted from the stack:,8122246,"['actionpack', 'railties']",5,2022-03-01T15:24:34Z,2022-03-02T23:48:46Z,
1155285825,44583,Rails 7 looking for application.css,202611,[],11,2022-03-01T12:32:06Z,2022-03-02T15:54:36Z,
1154273875,44576,Defer verification of database connections,1034,['activerecord'],0,2022-02-28T16:08:38Z,2022-03-03T17:10:36Z,
1154203814,44574,Fix the example for using a CDN with ActiveStorage,453584,['docs'],0,2022-02-28T15:07:46Z,2022-02-28T15:11:15Z,
1154146874,44571,`precision: nil` added to datetime columns in `schema.rb` in 7.0.2 causes a change in value,3299948,[],13,2022-02-28T14:16:37Z,2022-03-04T16:05:34Z,
1153380300,44564,Make ActionView::Helpers::Tags::CheckBox convert object's array values to strings so it works the same way as ActionView::Helpers::Tags::CollectionSelect.,200500,['actionview'],2,2022-02-27T20:07:52Z,2022-03-02T18:46:21Z,
1151866347,44560,Re-raise unexpected errors in MemCacheStore tests,1034,['activesupport'],0,2022-02-26T15:16:45Z,2022-02-26T15:16:48Z,
1151234448,44558,Adds test coverage for the `#attach` method behaviour in activestorage,56545288,['activestorage'],0,2022-02-26T05:25:45Z,2022-02-28T10:34:45Z,
1151001845,44556,Remove Rack::Sendfile from the default middleware stack,8790422,"['actionpack', 'railties', 'docs', 'activestorage', 'actionmailbox', 'actiontext']",0,2022-02-26T00:56:38Z,2022-02-26T00:56:42Z,
1150651367,44553,ActiveSupport::Deprecation does not fallback to configured disallowed_behavior,82634,['activesupport'],10,2022-02-25T16:43:41Z,2022-03-04T15:13:36Z,
1150386297,44551,Implement ErrorReporter#disable,19192189,['activesupport'],1,2022-02-25T12:23:54Z,2022-03-06T12:15:16Z,
1150287612,44550,A doubt about the build scope of association,33079237,[],1,2022-02-25T10:29:28Z,2022-02-25T20:36:16Z,
1150164625,44549,before_type_cast not work when it called by an object through association mapping and index,99234289,['activerecord'],4,2022-02-25T08:16:14Z,2022-03-03T09:11:08Z,
1150043182,44547,fix remaining asserts that should be assert_equal,6014046,"['actionpack', 'activemodel', 'activerecord', 'activesupport', 'railties']",3,2022-02-25T04:57:16Z,2022-03-01T16:00:28Z,
1149285900,44542,Added assertions for testing unicode characters in `to_fs` method on `Numeric` for `:currency`,56545288,['activesupport'],4,2022-02-24T13:24:00Z,2022-02-24T19:08:11Z,
1148410182,44534,Port `BeforeTypeCast` to Active Model,771968,"['activemodel', 'activerecord']",2,2022-02-23T17:57:55Z,2022-02-28T18:10:14Z,
